,Country,Grape,Sweetness,Colour,Style,Closure,abv,Units,Description,Link
0,Spain,Grenache,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"Founded in 1877 the Bodega in Cenicero in the Rioja Alta is now a modern winery, with cellaring facilities housing over 50,000 barrels, and this is where Berberana Gran Reserva is matured for a minimum 3 years in American oak cask and a further 3 years in bottle. Ruby red colour with tawny hues. Subtle aromas of ripe dark cherries and strawberries. Smooth and full-bodied palate, with luscious fruit laced with vanilla, cloves and dried fruits. Roast meats, pastas, tomato dishes, barbecued lamb and game.",https://www.majestic.co.uk/Rioja-Gran-Reserva-zid14199
1,Spain,Grenache,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"Compañía Vinícola del Norte de España, CVNE, was founded in 1879 in and is still family owned. Their wines are made in the original Haro winery and hail back to the first wines produced here, then sold as 'Cuné Clairette'- a Bordeaux lookalike. A soft luxurious wine, mid garnet in colour with a lovely brambly nose and a hint of spice. Nuances of warm leather, caramel and coffee over rich autumn fruit.  Excellent balance and a lingering finish. Try served with grilled lamb, duck and most rich meats.",https://www.majestic.co.uk/Rioja-Reserva-zid14171
2,Spain,Grenache,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"One of the very best of Rioja's produced from fruit exclusively grown in the bodega's 360 hectare vineyard holdings in the Rioja Alta region, and named after one of the Region's founding families. Remaining under family ownership, this is of the most sought-after bodegas. Complex and perfumed primary and secondary aromas of earth, spice and red fruits with a long, elegantly structured medium weight body of spicy tannins and layers of flavour. Enjoy over the next decade as the richness and power will soften to spice and earth, augmenting game casserole or wild duck. ",https://www.majestic.co.uk/Rioja-Reserva-Vina-Ardanza-zid14270
3,Spain,Grenache,Non,Red Wine,Smooth Reds,Natural Cork,13.5,10.1,"Founded in 1877 by Don Miguel Martínez Berberana, this is now one of the best selling Riojas. The Reserva is matured for a minimum 2 years in American oak cask and only released when it is ready to drink. Deep ruby red, with delicious vanilla overtones backed up by juicy soft strawberry and morello cherry flavours. Round and full, well balanced, long and elegant. A good choice for roasted red meats such as lamb, or with stews and casseroles.",https://www.majestic.co.uk/Rioja-Reserva-zid14138
4,Italy,Pinot Grigio/Gris,Dry,White Wine,Fresh Whites,Screwcap,12.0,9.0,"Running a family owned winery begun in 1925, the Pasqua brothers are a formidable team and are the last winery operating within Verona city in the middle of the Veneto region where this Pinot Grigio comes from. A fresh, fruity wine with lots of crunchy fruit. Crisp, citrussy acidity and a well balanced finish. The ideal apéritif or partner to oriental seafood.",https://www.majestic.co.uk/Pasqua-Pinot-Grigio-zid13230
5,Spain,Tempranillo,Non,Red Wine,Smooth Reds,Natural Cork,14.0,10.5,"As seen on TV. The Majestic Definition range captures the quintessential qualities of the world's greatest wine styles, with a little help from some of the world's greatest winemakers...Rioja. A region in northern Spain from where a number of the finest Spanish wines originate. Our Rioja Reserva, for which we searched long and hard. Soft flavour of blackcurrant, vanilla, leather and toasted cedar. Our Rioja is a perfect match for roast or grilled lamb but equally good with cheese or cured meats.",https://www.majestic.co.uk/Definition-Rioja-Reserva-zid14573
6,New Zealand,Sauvignon Blanc,Dry,White Wine,Tropical Whites,Screwcap,13.0,9.8,"Brancott Estate was one of New Zealand's original wineries, and pioneered the widespread planting of aromatic varieties, particularly Sauvignon Blanc, for which the country has become known. They have gone on to become one of the world's most recognisable brands. New Zealand in a glass...vibrant and lifted aromas of ripe tropical fruits and gooseberry. Bracing acidity is tempered by concentrated green fruits, citrus and hints of grass with a reviving fresh finish. Drinking at its best now as either as an apéritif or with lemon chicken, Thai spices, fresh fish or seafood.",https://www.majestic.co.uk/Brancott-Estate-Sauvignon-Blanc-zid37083
7,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,14.5,10.9,"The Malbec Reserva from the Vinalba estate has previously won a Decanter award for its quality. Sourced from vineyards at the foot of the Andes, grown at different altitudes to achieve the perfect balance between tannin and acidity. This wine wraps itself around every corner of your mouth with its ripe dark plum fruits, sweet tannins and dark chocolate and mocha. Flavours linger for a long time. A full-bodied wine, yet with juicy tannins, this wine is best enjoyed with food. Peppered steak, venison or lamb are ideal companions.",https://www.majestic.co.uk/Vinalba-Reservado-Malbec-zid40072
8,Chile,Sauvignon Blanc,Dry,White Wine,Zingy Whites,Screwcap,12.5,9.4,"Chile's Central Valley is the very hub of the country's wine production. Extending southwards from the capital Santiago, between the Andes and the Coastal Range of mountains, it is the home of many of the first vineyards to have been planted by European vignerons. Invitingly fruity, offering a juicy citrus and gooseberry backbone overlaid with notes of lime zest and fresh green apples. Crisp acidity provides maximum refreshment. Chill well and enjoy on its own or with simply fresh pasta dishes.",https://www.majestic.co.uk/Silver-Ghost-Sauvignon-Blanc-zid39354
9,Argentina,Malbec,Non,Red Wine,Powerful Reds,Natural Cork,13.5,10.1,"Nicolás and Laura Catena have worked tirelessly in the discovery, identification and development of key microclimates in the high altitude wine country of Mendoza. Their Malbec uses this work and combines grapes from various altitudes to create a unique profile of aromas. Elegantly structured, and showing ripe blackberry and blackcurrant fruit flavours, subtle vanilla and plenty of peppery spice. Balanced by firm tannins and crisp, refreshing acidity on the finish. The complex character, tannins and acidity help suit this wine to further ageing and it will comfortably last five years.",https://www.majestic.co.uk/Catena-Malbec-zid40041
